sat,year,c,b,a
F15,2001,0.005164,0.0000894,1.002879
F15,2002,-0.04462,0.000117,0.987943
F15,2003,-0.27189,-0.0085,1.555808
F15,2004,-0.06977,-0.00912,1.591033
F15,2005,0.449229,-0.00601,1.401146
F15,2006,0.913485,-0.00595,1.381139
F15,2007,0.644785,-0.00675,1.448976
F16,2004,-0.02563,-0.00496,1.317581
F16,2005,-0.54115,-0.0094,1.613536
F16,2006,-0.38377,-0.0061,1.41435
F16,2006,0.629564,-0.00084,1.040815
F16,2008,0.745403,-0.00062,1.037042
F16,2009,-0.15161,-0.00278,1.193437
F18,2010,6.22332,-0.014627,-0.08536
F18,2011,1.427157,0.002877,0.774923
F18,2012,3.866698,0.007962,0.355542